,base_weight,overlay_weight,weight_diff,abs_weight_diff,base_cum_weight,overlay_cum_weight
2018-02-28,0.0004340980236164051,0.0004340980236164051,0.0,0.0,0.03355844947460457,0.03355844947460457
2018-03-01,0.00047147792758748484,0.00047147792758748484,0.0,0.0,0.03402992740219205,0.03402992740219205
2018-03-02,0.0004117504470119357,0.0004117504470119357,0.0,0.0,0.03444167784920399,0.03444167784920399
2018-03-03,0.0004059786206207535,0.0004059786206207535,0.0,0.0,0.03484765646982474,0.03484765646982474
2018-03-04,0.000373010158871814,0.000373010158871814,0.0,0.0,0.03522066662869655,0.03522066662869655
2018-03-05,0.00037325238510702935,0.00037325238510702935,0.0,0.0,0.03559391901380358,0.03559391901380358
2018-03-06,0.0003701675895280372,0.0003701675895280372,0.0,0.0,0.03596408660333161,0.03596408660333161
2018-03-07,0.0004516011167761323,0.0004516011167761323,0.0,0.0,0.036415687720107746,0.036415687720107746
2018-03-08,0.0005366335860925698,0.0005366335860925698,0.0,0.0,0.03695232130620032,0.03695232130620032
2018-03-09,0.0006067732352083261,0.0006067732352083261,0.0,0.0,0.03755909454140864,0.03755909454140864
2018-03-10,0.0006105468421359502,0.0006105468421359502,0.0,0.0,0.03816964138354459,0.03816964138354459
2018-03-11,0.0006750574946963813,0.0006750574946963813,0.0,0.0,0.03884469887824097,0.03884469887824097
2018-03-12,0.0005724319566744331,0.0005724319566744331,0.0,0.0,0.0394171308349154,0.0394171308349154
2018-03-13,0.0006170323843868524,0.0006170323843868524,0.0,0.0,0.040034163219302255,0.040034163219302255
2018-03-14,0.0006118480894581201,0.0006118480894581201,0.0,0.0,0.040646011308760374,0.040646011308760374
2018-03-15,0.0007431954016205928,0.0007431954016205928,0.0,0.0,0.04138920671038097,0.04138920671038097
2018-03-16,0.0007272964178327657,0.0007272964178327657,0.0,0.0,0.04211650312821373,0.04211650312821373
2018-03-17,0.000703052643351997,0.000703052643351997,0.0,0.0,0.04281955577156573,0.04281955577156573
2018-03-18,0.000772979572580576,0.000772979572580576,0.0,0.0,0.0435925353441463,0.0435925353441463
2018-03-19,0.0007150472571418542,0.0007150472571418542,0.0,0.0,0.044307582601288156,0.044307582601288156
2018-03-20,0.0006574782709150691,0.0006574782709150691,0.0,0.0,0.04496506087220323,0.04496506087220323
2018-03-21,0.0006047388394454224,0.0006047388394454224,0.0,0.0,0.04556979971164865,0.04556979971164865
2018-03-22,0.0006037381430430234,0.0006037381430430234,0.0,0.0,0.04617353785469167,0.04617353785469167
2018-03-23,0.0006225052532497114,0.0006225052532497114,0.0,0.0,0.04679604310794138,0.04679604310794138
2018-03-24,0.0006111925069473404,0.0006111925069473404,0.0,0.0,0.04740723561488872,0.04740723561488872
2018-03-25,0.0006289775007131578,0.0006289775007131578,0.0,0.0,0.04803621311560188,0.04803621311560188
2018-03-26,0.0006479482684461982,0.0006479482684461982,0.0,0.0,0.04868416138404808,0.04868416138404808
2018-03-27,0.0006808178558941958,0.0006808178558941958,0.0,0.0,0.04936497923994228,0.04936497923994228
2018-03-28,0.0007241177314701397,0.0007241177314701397,0.0,0.0,0.050089096971412415,0.050089096971412415
2018-03-29,0.0007030312900456734,0.0007030312900456734,0.0,0.0,0.05079212826145809,0.05079212826145809
2018-03-30,0.000826896924359204,0.000826896924359204,0.0,0.0,0.05161902518581729,0.05161902518581729
2018-03-31,0.0008638336477067585,0.0008638336477067585,0.0,0.0,0.05248285883352405,0.05248285883352405
2018-04-01,0.0008356415598461506,0.0008356415598461506,0.0,0.0,0.0533185003933702,0.0533185003933702
2018-04-02,0.00084488928415088,0.00084488928415088,0.0,0.0,0.05416338967752108,0.05416338967752108
2018-04-03,0.0007956311909019073,0.0007956311909019073,0.0,0.0,0.05495902086842299,0.05495902086842299
2018-04-04,0.0007263126566814746,0.0007263126566814746,0.0,0.0,0.05568533352510446,0.05568533352510446
2018-04-05,0.0008211346227415886,0.0008211346227415886,0.0,0.0,0.05650646814784605,0.05650646814784605
2018-04-06,0.0008082010548140388,0.0008082010548140388,0.0,0.0,0.05731466920266009,0.05731466920266009
2018-04-07,0.0008299120817238122,0.0008299120817238122,0.0,0.0,0.0581445812843839,0.0581445812843839
2018-04-08,0.0007746218361660222,0.0007746218361660222,0.0,0.0,0.05891920312054992,0.05891920312054992
2018-04-09,0.0007474488106981403,0.0007474488106981403,0.0,0.0,0.05966665193124806,0.05966665193124806
2018-04-10,0.0007830369717290234,0.0007830369717290234,0.0,0.0,0.06044968890297708,0.06044968890297708
2018-04-11,0.0007624156977506426,0.0007624156977506426,0.0,0.0,0.06121210460072773,0.06121210460072773
2018-04-12,0.0007355859990702822,0.0007355859990702822,0.0,0.0,0.06194769059979801,0.06194769059979801
2018-04-13,0.0005997822900972056,0.0005997822900972056,0.0,0.0,0.06254747288989522,0.06254747288989522
2018-04-14,0.0005956842818410821,0.0005956842818410821,0.0,0.0,0.0631431571717363,0.0631431571717363
2018-04-15,0.0005830744428552556,0.0005830744428552556,0.0,0.0,0.06372623161459155,0.06372623161459155
2018-04-16,0.0005428056288818226,0.0005428056288818226,0.0,0.0,0.06426903724347338,0.06426903724347338
2018-04-17,0.0005752190999009436,0.0005752190999009436,0.0,0.0,0.06484425634337433,0.06484425634337433
2018-04-18,0.0005922519041202506,0.0005922519041202506,0.0,0.0,0.06543650824749458,0.06543650824749458
2018-04-19,0.0005581716805035945,0.0005581716805035945,0.0,0.0,0.06599467992799818,0.06599467992799818
2018-04-20,0.0005445534200873565,0.0005445534200873565,0.0,0.0,0.06653923334808554,0.06653923334808554
2018-04-21,0.0004849093414813862,0.0004849093414813862,0.0,0.0,0.06702414268956693,0.06702414268956693
2018-04-22,0.00048277903669609367,0.00048277903669609367,0.0,0.0,0.06750692172626302,0.06750692172626302
2018-04-23,0.0004891730216654012,0.0004891730216654012,0.0,0.0,0.06799609474792842,0.06799609474792842
2018-04-24,0.0004767663377557303,0.0004767663377557303,0.0,0.0,0.06847286108568415,0.06847286108568415
2018-04-25,0.0004130998201800215,0.0004130998201800215,0.0,0.0,0.06888596090586417,0.06888596090586417
2018-04-26,0.00048576253018461836,0.00048576253018461836,0.0,0.0,0.06937172343604879,0.06937172343604879
2018-04-27,0.0004479219709199596,0.0004479219709199596,0.0,0.0,0.06981964540696875,0.06981964540696875
2018-04-28,0.00047456310164590806,0.00047456310164590806,0.0,0.0,0.07029420850861466,0.07029420850861466
2018-04-29,0.0004421332430682869,0.0004421332430682869,0.0,0.0,0.07073634175168295,0.07073634175168295
2018-04-30,0.0004381239711785595,0.0004381239711785595,0.0,0.0,0.0711744657228615,0.0711744657228615
2018-05-01,0.00045354896513536644,0.00045354896513536644,0.0,0.0,0.07162801468799687,0.07162801468799687
2018-05-02,0.00046803843837026803,0.00046803843837026803,0.0,0.0,0.07209605312636715,0.07209605312636715
2018-05-03,0.00045603975134000425,0.00045603975134000425,0.0,0.0,0.07255209287770716,0.07255209287770716
2018-05-04,0.0004098666249303827,0.0004098666249303827,0.0,0.0,0.07296195950263754,0.07296195950263754
2018-05-05,0.00041515798457411336,0.00041515798457411336,0.0,0.0,0.07337711748721165,0.07337711748721165
2018-05-06,0.00040807265393070726,0.00040807265393070726,0.0,0.0,0.07378519014114236,0.07378519014114236
2018-05-07,0.0004254420589843403,0.0004254420589843403,0.0,0.0,0.0742106322001267,0.0742106322001267
2018-05-08,0.00044791538026344574,0.00044791538026344574,0.0,0.0,0.07465854758039014,0.07465854758039014
2018-05-09,0.0004594053689987007,0.0004594053689987007,0.0,0.0,0.07511795294938885,0.07511795294938885
2018-05-10,0.0004523541153063763,0.0004523541153063763,0.0,0.0,0.07557030706469522,0.07557030706469522
2018-05-11,0.000475542030087984,0.000475542030087984,0.0,0.0,0.07604584909478321,0.07604584909478321
2018-05-12,0.0005357624308437014,0.0005357624308437014,0.0,0.0,0.07658161152562691,0.07658161152562691
2018-05-13,0.0005279644654561373,0.0005279644654561373,0.0,0.0,0.07710957599108305,0.07710957599108305
2018-05-14,0.000506078708221129,0.000506078708221129,0.0,0.0,0.07761565469930418,0.07761565469930418
2018-05-15,0.0005078693669962565,0.0005078693669962565,0.0,0.0,0.07812352406630044,0.07812352406630044
2018-05-16,0.0005254067916728046,0.0005254067916728046,0.0,0.0,0.07864893085797324,0.07864893085797324
2018-05-17,0.0005409474455490991,0.0005409474455490991,0.0,0.0,0.07918987830352234,0.07918987830352234
2018-05-18,0.0005690658902062514,0.0005690658902062514,0.0,0.0,0.07975894419372859,0.07975894419372859
2018-05-19,0.0005476857715266771,0.0005476857715266771,0.0,0.0,0.08030662996525527,0.08030662996525527
2018-05-20,0.0005464834540480244,0.0005464834540480244,0.0,0.0,0.08085311341930329,0.08085311341930329
2018-05-21,0.0005161760950633258,0.0005161760950633258,0.0,0.0,0.08136928951436662,0.08136928951436662
2018-05-22,0.0005261748607654011,0.0005261748607654011,0.0,0.0,0.08189546437513202,0.08189546437513202
2018-05-23,0.0005654437769688829,0.0005654437769688829,0.0,0.0,0.0824609081521009,0.0824609081521009
2018-05-24,0.000618023616575333,0.000618023616575333,0.0,0.0,0.08307893176867623,0.08307893176867623
2018-05-25,0.0006082754243654518,0.0006082754243654518,0.0,0.0,0.08368720719304168,0.08368720719304168
2018-05-26,0.0006229292805056132,0.0006229292805056132,0.0,0.0,0.08431013647354729,0.08431013647354729
2018-05-27,0.000631439350340515,0.000631439350340515,0.0,0.0,0.08494157582388781,0.08494157582388781
2018-05-28,0.0006263767599928653,0.0006263767599928653,0.0,0.0,0.08556795258388068,0.08556795258388068
2018-05-29,0.0006506491700910567,0.0006506491700910567,0.0,0.0,0.08621860175397174,0.08621860175397174
2018-05-30,0.0006059709829027244,0.0006059709829027244,0.0,0.0,0.08682457273687447,0.08682457273687447
2018-05-31,0.0006125229225082192,0.0006125229225082192,0.0,0.0,0.08743709565938268,0.08743709565938268
2018-06-01,0.0005980065793127516,0.0005980065793127516,0.0,0.0,0.08803510223869543,0.08803510223869543
2018-06-02,0.0005908453155922624,0.0005908453155922624,0.0,0.0,0.0886259475542877,0.0886259475542877
2018-06-03,0.0005753975968469192,0.0005753975968469192,0.0,0.0,0.08920134515113462,0.08920134515113462
2018-06-04,0.0005660040252074912,0.0005660040252074912,0.0,0.0,0.08976734917634212,0.08976734917634212
2018-06-05,0.0005872409281946367,0.0005872409281946367,0.0,0.0,0.09035459010453675,0.09035459010453675
2018-06-06,0.0005707569585312834,0.0005707569585312834,0.0,0.0,0.09092534706306804,0.09092534706306804
2018-06-07,0.0005639991453714907,0.0005639991453714907,0.0,0.0,0.09148934620843953,0.09148934620843953
2018-06-08,0.0005599391563063257,0.0005599391563063257,0.0,0.0,0.09204928536474585,0.09204928536474585
2018-06-09,0.0005621164802671186,0.0005621164802671186,0.0,0.0,0.09261140184501297,0.09261140184501297
2018-06-10,0.0005668446373996084,0.0005668446373996084,0.0,0.0,0.09317824648241257,0.09317824648241257
2018-06-11,0.0006588985555669543,0.0006588985555669543,0.0,0.0,0.09383714503797953,0.09383714503797953
2018-06-12,0.0006416642116713761,0.0006416642116713761,0.0,0.0,0.09447880924965091,0.09447880924965091
2018-06-13,0.0006782965449541288,0.0006782965449541288,0.0,0.0,0.09515710579460504,0.09515710579460504
2018-06-14,0.0007023533563934565,0.0007023533563934565,0.0,0.0,0.0958594591509985,0.0958594591509985
2018-06-15,0.0006548222633626029,0.0006548222633626029,0.0,0.0,0.09651428141436111,0.09651428141436111
2018-06-16,0.0006793755910569015,0.0006793755910569015,0.0,0.0,0.09719365700541802,0.09719365700541802
2018-06-17,0.0006616911356819331,0.0006616911356819331,0.0,0.0,0.09785534814109995,0.09785534814109995
2018-06-18,0.0006623970705945739,0.0006623970705945739,0.0,0.0,0.09851774521169451,0.09851774521169451
2018-06-19,0.000625982757037291,0.000625982757037291,0.0,0.0,0.0991437279687318,0.0991437279687318
2018-06-20,0.0006178914274883189,0.0006178914274883189,0.0,0.0,0.09976161939622012,0.09976161939622012
2018-06-21,0.0006108931506166365,0.0006108931506166365,0.0,0.0,0.10037251254683675,0.10037251254683675
2018-06-22,0.0006102624853380163,0.0006102624853380163,0.0,0.0,0.10098277503217477,0.10098277503217477
2018-06-23,0.0006888622300808562,0.0006888622300808562,0.0,0.0,0.10167163726225563,0.10167163726225563
2018-06-24,0.0006674974318333758,0.0006674974318333758,0.0,0.0,0.102339134694089,0.102339134694089
2018-06-25,0.0006644001504901397,0.0006644001504901397,0.0,0.0,0.10300353484457915,0.10300353484457915
2018-06-26,0.0006440930090272322,0.0006440930090272322,0.0,0.0,0.10364762785360639,0.10364762785360639
2018-06-27,0.0006558216960398297,0.0006558216960398297,0.0,0.0,0.10430344954964621,0.10430344954964621
2018-06-28,0.0006433687550577868,0.0006433687550577868,0.0,0.0,0.104946818304704,0.104946818304704
2018-06-29,0.0006733038059613196,0.0006733038059613196,0.0,0.0,0.10562012211066532,0.10562012211066532
2018-06-30,0.0006185013189757666,0.0006185013189757666,0.0,0.0,0.10623862342964109,0.10623862342964109
2018-07-01,0.0005924753668025642,0.0005924753668025642,0.0,0.0,0.10683109879644366,0.10683109879644366
2018-07-02,0.0005878207577951498,0.0005878207577951498,0.0,0.0,0.10741891955423881,0.10741891955423881
2018-07-03,0.0005528202468137453,0.0005528202468137453,0.0,0.0,0.10797173980105255,0.10797173980105255
2018-07-04,0.0005592140658862605,0.0005592140658862605,0.0,0.0,0.10853095386693881,0.10853095386693881
2018-07-05,0.0005429630127224553,0.0005429630127224553,0.0,0.0,0.10907391687966127,0.10907391687966127
2018-07-06,0.0005412774269498407,0.0005412774269498407,0.0,0.0,0.10961519430661111,0.10961519430661111
2018-07-07,0.0005276751832688193,0.0005276751832688193,0.0,0.0,0.11014286948987993,0.11014286948987993
2018-07-08,0.0005066770145894702,0.0005066770145894702,0.0,0.0,0.1106495465044694,0.1106495465044694
2018-07-09,0.0005051593489557233,0.0005051593489557233,0.0,0.0,0.11115470585342511,0.11115470585342511
2018-07-10,0.0005048274202753526,0.0005048274202753526,0.0,0.0,0.11165953327370047,0.11165953327370047
2018-07-11,0.0005402411904680977,0.0005402411904680977,0.0,0.0,0.11219977446416857,0.11219977446416857
2018-07-12,0.0005273076595150906,0.0005273076595150906,0.0,0.0,0.11272708212368365,0.11272708212368365
2018-07-13,0.0005481498226868218,0.0005481498226868218,0.0,0.0,0.11327523194637047,0.11327523194637047
2018-07-14,0.0005374622108284855,0.0005374622108284855,0.0,0.0,0.11381269415719895,0.11381269415719895
2018-07-15,0.0005267493152043678,0.0005267493152043678,0.0,0.0,0.11433944347240332,0.11433944347240332
2018-07-16,0.0005111592627244984,0.0005111592627244984,0.0,0.0,0.11485060273512782,0.11485060273512782
2018-07-17,0.00046766150826507805,0.00046766150826507805,0.0,0.0,0.11531826424339289,0.11531826424339289
2018-07-18,0.0004050492064491156,0.0004050492064491156,0.0,0.0,0.115723313449842,0.115723313449842
2018-07-19,0.0003976538240779757,0.0003976538240779757,0.0,0.0,0.11612096727391998,0.11612096727391998
2018-07-20,0.00038696923620395595,0.00038696923620395595,0.0,0.0,0.11650793651012394,0.11650793651012394
2018-07-21,0.00039676946527141715,0.00039676946527141715,0.0,0.0,0.11690470597539536,0.11690470597539536
2018-07-22,0.0003863857453671012,0.0003863857453671012,0.0,0.0,0.11729109172076246,0.11729109172076246
2018-07-23,0.00038430454424557246,0.00038430454424557246,0.0,0.0,0.11767539626500803,0.11767539626500803
2018-07-24,0.00035477271017307177,0.00035477271017307177,0.0,0.0,0.11803016897518111,0.11803016897518111
2018-07-25,0.00030072200238517735,0.00030072200238517735,0.0,0.0,0.11833089097756629,0.11833089097756629
2018-07-26,0.0003116252487555394,0.0003116252487555394,0.0,0.0,0.11864251622632183,0.11864251622632183
2018-07-27,0.00033030371024666866,0.00033030371024666866,0.0,0.0,0.1189728199365685,0.1189728199365685
2018-07-28,0.0003087254459885708,0.0003087254459885708,0.0,0.0,0.11928154538255707,0.11928154538255707
2018-07-29,0.0003055573449926916,0.0003055573449926916,0.0,0.0,0.11958710272754976,0.11958710272754976
2018-07-30,0.0003007218313517757,0.0003007218313517757,0.0,0.0,0.11988782455890153,0.11988782455890153
2018-07-31,0.0003032720678123041,0.0003032720678123041,0.0,0.0,0.12019109662671383,0.12019109662671383
2018-08-01,0.0003348532250767246,0.0003348532250767246,0.0,0.0,0.12052594985179056,0.12052594985179056
2018-08-02,0.0003427575191269112,0.0003427575191269112,0.0,0.0,0.12086870737091747,0.12086870737091747
2018-08-03,0.0003449015576810372,0.0003449015576810372,0.0,0.0,0.1212136089285985,0.1212136089285985
2018-08-04,0.00035351411069071997,0.00035351411069071997,0.0,0.0,0.12156712303928922,0.12156712303928922
2018-08-05,0.00038797042130348815,0.00038797042130348815,0.0,0.0,0.12195509346059272,0.12195509346059272
2018-08-06,0.00038341111612529873,0.00038341111612529873,0.0,0.0,0.12233850457671802,0.12233850457671802
2018-08-07,0.0003909519290075841,0.0003909519290075841,0.0,0.0,0.1227294565057256,0.1227294565057256
2018-08-08,0.0004087768949000347,0.0004087768949000347,0.0,0.0,0.12313823340062563,0.12313823340062563
2018-08-09,0.00045304438695446364,0.00045304438695446364,0.0,0.0,0.1235912777875801,0.1235912777875801
2018-08-10,0.00041968783826367724,0.00041968783826367724,0.0,0.0,0.12401096562584378,0.12401096562584378
2018-08-11,0.0004625529405023181,0.0004625529405023181,0.0,0.0,0.1244735185663461,0.1244735185663461
2018-08-12,0.00044037387368097775,0.00044037387368097775,0.0,0.0,0.12491389244002708,0.12491389244002708
2018-08-13,0.00043767013676253454,0.00043767013676253454,0.0,0.0,0.12535156257678962,0.12535156257678962
2018-08-14,0.0004403552343508468,0.0004403552343508468,0.0,0.0,0.12579191781114046,0.12579191781114046
2018-08-15,0.0004465925333383494,0.0004465925333383494,0.0,0.0,0.1262385103444788,0.1262385103444788
2018-08-16,0.0004346098446022312,0.0004346098446022312,0.0,0.0,0.12667312018908103,0.12667312018908103
2018-08-17,0.00042968153146091093,0.00042968153146091093,0.0,0.0,0.12710280172054195,0.12710280172054195
2018-08-18,0.0003993299680182284,0.0003993299680182284,0.0,0.0,0.12750213168856017,0.12750213168856017
2018-08-19,0.0004141545578802449,0.0004141545578802449,0.0,0.0,0.1279162862464404,0.1279162862464404
2018-08-20,0.00040300182173344697,0.00040300182173344697,0.0,0.0,0.12831928806817386,0.12831928806817386
2018-08-21,0.0004240417769446466,0.0004240417769446466,0.0,0.0,0.1287433298451185,0.1287433298451185
2018-08-22,0.00040197601818423094,0.00040197601818423094,0.0,0.0,0.12914530586330272,0.12914530586330272
2018-08-23,0.00041155465930163625,0.00041155465930163625,0.0,0.0,0.12955686052260437,0.12955686052260437
2018-08-24,0.0003951610388207779,0.0003951610388207779,0.0,0.0,0.12995202156142516,0.12995202156142516
2018-08-25,0.0003772502229273276,0.0003772502229273276,0.0,0.0,0.1303292717843525,0.1303292717843525
2018-08-26,0.0003721964293873516,0.0003721964293873516,0.0,0.0,0.13070146821373985,0.13070146821373985
2018-08-27,0.0003769225656647956,0.0003769225656647956,0.0,0.0,0.13107839077940464,0.13107839077940464
2018-08-28,0.0003623228258205128,0.0003623228258205128,0.0,0.0,0.13144071360522516,0.13144071360522516
2018-08-29,0.0003391882498956855,0.0003391882498956855,0.0,0.0,0.13177990185512084,0.13177990185512084
2018-08-30,0.00034375555533161815,0.00034375555533161815,0.0,0.0,0.13212365741045246,0.13212365741045246
2018-08-31,0.0003491266830311979,0.0003491266830311979,0.0,0.0,0.13247278409348365,0.13247278409348365
2018-09-01,0.00034327375677943936,0.00034327375677943936,0.0,0.0,0.1328160578502631,0.1328160578502631
2018-09-02,0.00032854185117350235,0.00032854185117350235,0.0,0.0,0.1331445997014366,0.1331445997014366
2018-09-03,0.0003200174714096241,0.0003200174714096241,0.0,0.0,0.13346461717284622,0.13346461717284622
2018-09-04,0.00032140423474363747,0.00032140423474363747,0.0,0.0,0.13378602140758986,0.13378602140758986
2018-09-05,0.0003122514867659825,0.0003122514867659825,0.0,0.0,0.13409827289435583,0.13409827289435583
2018-09-06,0.0003592302199685796,0.0003592302199685796,0.0,0.0,0.13445750311432442,0.13445750311432442
2018-09-07,0.0003863759618624997,0.0003863759618624997,0.0,0.0,0.13484387907618692,0.13484387907618692
2018-09-08,0.00039213795983688025,0.00039213795983688025,0.0,0.0,0.1352360170360238,0.1352360170360238
2018-09-09,0.00041260669877198666,0.00041260669877198666,0.0,0.0,0.1356486237347958,0.1356486237347958
2018-09-10,0.0004040272064720276,0.0004040272064720276,0.0,0.0,0.13605265094126784,0.13605265094126784
2018-09-11,0.0003974560420085256,0.0003974560420085256,0.0,0.0,0.13645010698327636,0.13645010698327636
2018-09-12,0.00039731741195272584,0.00039731741195272584,0.0,0.0,0.1368474243952291,0.1368474243952291
2018-09-13,0.000390635048410444,0.000390635048410444,0.0,0.0,0.13723805944363954,0.13723805944363954
2018-09-14,0.0003729045913441887,0.0003729045913441887,0.0,0.0,0.1376109640349837,0.1376109640349837
2018-09-15,0.0003708342291241384,0.0003708342291241384,0.0,0.0,0.13798179826410786,0.13798179826410786
2018-09-16,0.00036617447535299534,0.00036617447535299534,0.0,0.0,0.13834797273946087,0.13834797273946087
2018-09-17,0.0003670789227916087,0.0003670789227916087,0.0,0.0,0.13871505166225248,0.13871505166225248
2018-09-18,0.00038874423092272187,0.00038874423092272187,0.0,0.0,0.1391037958931752,0.1391037958931752
